The maximum sample data size is 50000
         n	 repetitions	   sort(sec)
       100	      155038	    0.000006
       200	       68509	    0.000015
       300	       43074	    0.000023
       400	       28542	    0.000035
       500	       21265	    0.000047
       600	       16875	    0.000059
       700	       14300	    0.000070
       800	       12340	    0.000081
       900	       10971	    0.000091
      1000	        9217	    0.000108
      2000	        4207	    0.000238
      3000	        2591	    0.000386
      4000	        1876	    0.000533
      5000	        1484	    0.000674
      6000	        1176	    0.000851
      7000	        1017	    0.000984
      8000	         861	    0.001162
      9000	         771	    0.001297
     10000	         689	    0.001452
     20000	         318	    0.003147
     30000	         208	    0.004831
     40000	         148	    0.006798
     50000	         114	    0.008792
