The maximum sample data size is 50000
         n	 repetitions	   sort(sec)
       100	       46396	    0.000022
       200	       13399	    0.000075
       300	        6379	    0.000157
       400	        3811	    0.000263
       500	        2523	    0.000397
       600	        1770	    0.000565
       700	        1244	    0.000804
       800	        1040	    0.000962
       900	         814	    0.001230
      1000	         660	    0.001516
      2000	         171	    0.005852
      3000	          78	    0.012968
      4000	          44	    0.023052
      5000	          28	    0.036382
      6000	          20	    0.052025
      7000	          15	    0.070609
      8000	          11	    0.092264
      9000	           9	    0.116516
     10000	           7	    0.145028
     20000	           2	    0.574868
     30000	           1	    1.300013
     40000	           1	    2.328539
     50000	           1	    3.606590
