The maximum sample data size is 30000
         n	 repetitions	   sort(sec)
       100	          27	 3.80741e-05
       200	           9	 0.000116889
       300	           5	   0.0002472
       400	           3	 0.000391333
       500	           2	   0.0006465
       600	           1	    0.001031
       700	           1	    0.001351
       800	           1	    0.001625
       900	           1	    0.001527
      1000	           1	     0.00182
      2000	           1	    0.006892
      3000	           1	    0.015428
      4000	           1	    0.027206
      5000	           1	    0.042571
      6000	           1	    0.060827
      7000	           1	    0.082765
      8000	           1	    0.107799
      9000	           1	    0.136376
     10000	           1	    0.169346
     20000	           1	    0.674658
     30000	           1	     1.52256
